DATE,City,"Agriculture, Forestry, Fishing and Hunting",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Federal Government,Local Government,State Government,Not Elsewhere Classified,"Mining, Quarrying, and Oil and Gas Extraction"
5-Jun,Indian Wells,NA,NA,34,NA,2,46,NA,NA,140,60,174,NA,233,NA,120,704,2397,118,NA,NA,NA,NA,NA
5-Jul,Indian Wells,NA,NA,34,NA,2,44,NA,NA,143,59,185,NA,231,NA,96,530,2185,112,NA,NA,NA,NA,NA
5-Aug,Indian Wells,NA,NA,32,NA,2,39,NA,NA,140,60,191,NA,228,NA,94,516,2188,113,NA,NA,NA,NA,NA
5-Sep,Indian Wells,NA,NA,40,NA,2,45,NA,NA,143,59,193,NA,236,NA,94,508,2259,112,NA,NA,NA,NA,NA
5-Oct,Indian Wells,NA,NA,39,NA,2,41,NA,NA,144,57,167,NA,243,NA,104,609,2443,124,NA,NA,NA,NA,NA
5-Nov,Indian Wells,NA,NA,36,NA,3,41,NA,NA,145,60,169,NA,275,NA,99,767,2492,132,NA,NA,NA,NA,NA
5-Dec,Indian Wells,NA,NA,36,NA,8,48,NA,NA,145,61,167,NA,270,NA,103,764,2509,132,NA,NA,NA,NA,NA
5-Jan,Indio,1220,NA,3456,550,318,1631,49,NA,171,252,370,NA,1147,109,691,207,1135,692,NA,2636,NA,NA,NA
5-Feb,Indio,589,NA,3492,550,312,1649,44,NA,172,260,373,NA,1191,109,696,232,1145,701,NA,2703,NA,NA,NA
5-Mar,Indio,1186,NA,3588,559,316,1680,51,NA,172,251,384,NA,1198,116,689,233,1190,689,NA,2822,NA,NA,NA
5-Apr,Indio,1350,NA,3670,533,316,1654,53,NA,169,250,427,NA,1224,110,704,237,1148,676,NA,2591,NA,NA,NA
5-May,Indio,1462,NA,3739,541,317,1631,62,NA,173,246,405,NA,1240,108,707,170,1161,686,NA,2519,NA,NA,NA
5-Jun,Indio,2636,NA,3794,566,329,1655,71,NA,168,227,407,NA,1212,108,714,152,1165,676,NA,2597,NA,NA,NA
5-Jul,Indio,2316,NA,3839,561,339,1572,63,NA,152,201,409,NA,1179,86,718,137,1094,647,NA,2522,NA,NA,NA
5-Aug,Indio,2023,NA,3887,564,347,1543,34,NA,152,190,402,NA,1185,73,693,135,1116,665,NA,2503,NA,NA,NA
5-Sep,Indio,1695,NA,3977,581,351,1557,33,NA,154,207,401,NA,1210,106,722,150,1141,674,NA,2474,NA,NA,NA
5-Oct,Indio,1534,NA,4039,596,357,1601,36,NA,156,228,408,NA,1271,116,706,154,1222,687,NA,2458,NA,NA,NA
5-Nov,Indio,1267,NA,4099,600,358,1630,42,NA,153,239,422,NA,1240,114,723,179,1248,718,NA,2477,NA,NA,NA
5-Dec,Indio,1156,NA,4021,612,353,1638,40,NA,158,249,421,NA,1199,113,741,180,1243,709,NA,2485,NA,NA,NA
5-Jan,La Quinta,49,NA,700,3,15,2291,18,NA,88,91,190,NA,277,33,147,392,3375,174,NA,1742,NA,NA,NA
5-Feb,La Quinta,59,NA,702,3,15,2347,19,NA,86,96,189,NA,304,34,153,372,3358,177,NA,1743,NA,NA,NA
5-Mar,La Quinta,95,NA,702,1,15,2385,18,NA,88,99,207,NA,307,31,156,373,3384,175,NA,1741,NA,NA,NA
5-Apr,La Quinta,88,NA,720,4,14,2356,19,NA,95,116,213,NA,321,32,167,419,3384,182,NA,1812,NA,NA,NA
5-May,La Quinta,57,NA,764,4,14,2374,17,NA,98,116,196,NA,322,27,167,403,3325,184,NA,1815,NA,NA,NA
5-Jun,La Quinta,61,NA,853,2,14,2329,14,NA,93,109,205,NA,313,25,169,360,3243,180,NA,1818,NA,NA,NA
5-Jul,La Quinta,57,NA,818,3,64,2236,11,NA,84,93,207,NA,299,29,164,292,3120,171,NA,1674,NA,NA,NA
5-Aug,La Quinta,51,NA,847,1,71,2233,12,NA,80,93,199,NA,306,28,156,276,2998,166,NA,1673,NA,NA,NA
5-Sep,La Quinta,94,NA,855,3,76,2276,13,NA,85,96,196,NA,322,31,161,284,3121,163,NA,1663,NA,NA,NA
5-Oct,La Quinta,126,NA,782,3,79,2285,15,NA,84,108,225,NA,331,25,164,308,3159,241,NA,1756,NA,NA,NA
5-Nov,La Quinta,169,NA,868,1,75,2412,14,NA,100,107,205,NA,346,30,172,394,3322,242,NA,1757,NA,NA,NA
5-Dec,La Quinta,206,NA,932,3,73,2526,15,NA,96,104,197,NA,356,30,177,415,3314,219,NA,1761,NA,NA,NA
5-Jan,Palm Desert,36,NA,2980,463,359,3932,231,629,721,555,967,43,1742,136,3905,1607,4223,1133,NA,1349,NA,NA,NA
5-Feb,Palm Desert,38,NA,2972,491,377,3868,235,637,737,565,971,43,1743,161,3903,1602,4295,1142,NA,1349,NA,NA,NA
5-Mar,Palm Desert,41,NA,3022,471,382,3841,243,614,752,568,970,43,1832,155,3874,1610,4300,1183,NA,1349,NA,NA,NA
5-Apr,Palm Desert,40,NA,2985,443,363,3616,239,626,732,566,1023,47,2075,152,3965,1537,4454,1208,NA,1338,NA,NA,NA
5-May,Palm Desert,37,NA,3013,432,363,3591,247,625,746,582,1020,46,2068,157,3918,1472,4377,1229,NA,1337,NA,NA,NA
5-Jun,Palm Desert,37,NA,3090,417,341,3547,233,621,761,582,1022,46,2088,154,3875,1279,4190,1200,NA,1340,NA,NA,NA
5-Jul,Palm Desert,34,NA,3343,412,304,3400,219,595,633,582,1032,36,1742,142,3891,1235,4139,1243,NA,1400,NA,NA,NA
5-Aug,Palm Desert,32,NA,3441,407,315,3451,226,620,635,565,1039,36,1783,127,3864,1274,4057,1210,NA,1400,NA,NA,NA
5-Sep,Palm Desert,33,NA,3483,424,318,3518,231,649,649,564,1030,37,1742,150,3911,1347,4140,1251,NA,1399,NA,NA,NA
5-Oct,Palm Desert,33,NA,3502,429,317,3638,235,632,641,575,1125,87,1708,159,3929,1576,4298,1313,NA,1353,NA,NA,NA
